TransactionID,CustomerID,TransactionDate,CustomerAge,Gender,State,City,ProductCategory,ProductName,Quantity,UnitPrice,TotalAmount,PaymentMethod
T100126,C1282,2025-08-28,56.0,Male,OH,Cincinnati,Toys,Board Game,2,164.14,328.28,PayPal
T100956,C1213,2025-01-16,43.0,Female,GA,Atlanta,Home & Kitchen,Blender,1,199.63,199.63,Credit Card
T100798,C1258,2025-02-20,27.0,Female,NY,New York City,Books,Cookbook,4,52.13,208.52,Credit Card
T100438,C1338,2025-07-21,46.0,Female,CA,San Francisco,Books,Biography,2,118.06,236.12,Credit Card
T100259,C1308,2025-07-03,35.0,Male,OH,Cleveland,Sports & Outdoors,Dumbbell Set,4,119.32,477.28,Credit Card
T100384,C1080,2025-05-08,71.0,Male,IL,Chicago,Toys,Remote Control Car,2,26.74,53.48,Debit Card
T100405,C1033,2025-07-01,49.0,Female,PA,Philadelphia,Toys,Board Game,3,132.26,396.78,Credit Card
T100215,C1159,2025-06-10,62.0,Female,NY,Buffalo,Books,Cookbook,2,125.85,251.7,PayPal
T100411,C1309,2025-01-16,24.0,Female,FL,Orlando,Electronics,USB Drive,3,146.18,438.54,Credit Card
T100050,C1324,2025-02-01,73.0,Male,CA,Los Angeles,Books,Biography,5,165.94,829.7,Debit Card
T100968,C1109,2025-01-07,58.0,Male,OH,Cleveland,Toys,Action Figure,4,99.99,399.96,PayPal
T100416,C1220,2025-05-05,25.0,Male,WA,Tacoma,Beauty,Hair Dryer,1,160.91,160.91,Cash
T100610,C1276,2025-06-29,44.0,Male,TX,Dallas,Beauty,Shampoo Set,5,77.11,385.55,Gift Card
T100883,C1254,2025-03-20,55.0,Male,GA,Augusta,Home & Kitchen,Air Fryer,4,8.82,35.28,PayPal
T100588,C1147,2025-04-08,31.0,Male,FL,Orlando,Clothing,Running Shoes,2,153.82,307.64,Credit Card
T100420,C1114,2025-07-16,46.0,Male,OH,Columbus,Books,Self-Help Guide,5,149.84,749.2,Gift Card
T100124,C1041,2025-10-23,61.0,Male,OH,Columbus,Toys,Building Blocks,4,101.54,406.16,Gift Card
T100516,C1170,2025-08-03,24.0,Female,IL,Springfield,Toys,Remote Control Car,2,66.23,132.46,Debit Card
T100003,C1000,2025-10-12,46.0,Female,NY,New York City,Beauty,Shampoo Set,4,174.17,696.68,PayPal
T100129,C1265,2025-10-12,51.0,Female,NY,New York City,Books,Cookbook,2,136.55,273.1,Credit Card
T100560,C1243,2025-01-15,55.0,Male,NC,Raleigh,Sports & Outdoors,Water Bottle,5,44.97,224.85,Credit Card
T100373,C1287,2025-10-05,50.0,Male,TX,Dallas,Clothing,Winter Jacket,2,175.62,351.24,Credit Card
